gugun,dong,generation
송파구,가락1동,9919
송파구,가락2동,12331
송파구,가락본동,11963
구로구,가리봉동,5931
금천구,가산동,14385
강서구,가양1동,19410
강서구,가양2동,8114
강서구,가양3동,7935
종로구,가회동,2077
은평구,갈현1동,11227
은평구,갈현2동,12623
강동구,강일동,11245
구로구,개봉1동,13844
구로구,개봉2동,12566
구로구,개봉3동,8904
강남구,개포1동,2711
강남구,개포2동,8064
강남구,개포4동,7768
송파구,거여1동,5538
송파구,거여2동,7176
강동구,고덕1동,8937
강동구,고덕2동,8126
구로구,고척1동,9584
구로구,고척2동,11613
마포구,공덕동,19177
노원구,공릉1동,18154
노원구,공릉2동,16353
강서구,공항동,12777
광진구,광장동,12079
중구,광희동,3038
종로구,교남동,4597
구로구,구로1동,8280
구로구,구로2동,12662
구로구,구로3동,13159
구로구,구로4동,10599
구로구,구로5동,14620
은평구,구산동,13289
광진구,구의1동,12079
광진구,구의2동,11638
광진구,구의3동,12185
광진구,군자동,10921
성동구,금호1가동,6652
성동구,금호2.3가동,10347
성동구,금호4가동,6450
강동구,길동,21125
성북구,길음1동,12828
성북구,길음2동,7100
관악구,낙성대동,11034
관악구,난곡동,12984
관악구,난향동,6433
서대문구,남가좌1동,5949
서대문구,남가좌2동,12989
용산구,남영동,5456
관악구,남현동,9468
서초구,내곡동,7339
동작구,노량진1동,15456
동작구,노량진2동,7245
은평구,녹번동,17278
강남구,논현1동,14436
강남구,논현2동,11446
광진구,능동,6471
중구,다산동,6980
동대문구,답십리1동,12800
동대문구,답십리2동,13021
영등포구,당산1동,10731
영등포구,당산2동,17690
영등포구,대림1동,6400
영등포구,대림2동,6867
영등포구,대림3동,10433
동작구,대방동,17196
은평구,대조동,14073
강남구,대치1동,7408
강남구,대치2동,12929
강남구,대치4동,10169
관악구,대학동,16071
마포구,대흥동,8126
강남구,도곡1동,8654
강남구,도곡2동,11828
영등포구,도림동,9378
도봉구,도봉1동,10345
도봉구,도봉2동,12146
마포구,도화동,9582
금천구,독산1동,20934
금천구,독산2동,9287
금천구,독산3동,12451
금천구,독산4동,7654
성북구,돈암1동,6244
성북구,돈암2동,8674
성북구,동선동,9289
중구,동화동,4176
강동구,둔촌1동,162
강동구,둔촌2동,11242
강서구,등촌1동,12331
강서구,등촌2동,8749
강서구,등촌3동,14960
성동구,마장동,10905
송파구,마천1동,9044
송파구,마천2동,8794
중랑구,망우3동,8462
중랑구,망우본동,14807
마포구,망원1동,10603
마포구,망원2동,8451
중랑구,면목2동,12325
중랑구,면목3.8동,12694
중랑구,면목4동,9143
중랑구,면목5동,4498
