name,grade,city,gugun,dong,address,lat,lng
풍문고등학교,고등학교,서울특별시,강남구,자곡동,서울특별시 강남구 자곡로 152,37.4712504,127.1006925
한울중학교,중학교,서울특별시,금천구,시흥동,서울특별시 금천구 독산로50길 60,37.462335,126.9074
서울항동초등학교,초등학교,서울특별시,구로구,항동,서울특별시 구로구 연동로 178,37.4767306,126.8239832
서울숭신초등학교,초등학교,서울특별시,성동구,하왕십리동,서울특별시 성동구 마장로 161,37.5677035,127.0277668
내곡중학교,중학교,서울특별시,서초구,신원동,서울특별시 서초구 청계산로7길 9-20,37.45200217,127.0544427
해누리중학교,중학교,서울특별시,송파구,가락동,서울특별시 송파구 송파대로37길 95,37.49761178,127.1025328
한양공업고등학교,고등학교,서울특별시,중구,신당동,서울특별시 중구 을지로 299,37.565376,127.0118163
성동공업고등학교,고등학교,서울특별시,중구,흥인동,서울특별시 중구 다산로 290,37.5693545,127.0171338
성동글로벌경영고등학교,고등학교,서울특별시,중구,신당동,서울특별시 중구 퇴계로 375,37.5656443,127.0132205
대동세무고등학교,고등학교,서울특별시,종로구,계동,서울특별시 종로구 계동길 84-10,37.5819196,126.9879303
서일국제경영고등학교,고등학교,서울특별시,종로구,창신동,서울특별시 종로구 지봉로17길 49,37.5793722,127.0130226
경기상업고등학교,고등학교,서울특별시,종로구,청운동,서울특별시 종로구 자하문로 136,37.58925889,126.9700589
서울아이티고등학교,고등학교,서울특별시,노원구,중계동,서울특별시 노원구 섬밭로 299,37.6421764,127.0619553
미래산업과학고등학교,고등학교,서울특별시,노원구,중계동,서울특별시 노원구 덕릉로82길 54,37.6590494,127.0786348
동산정보산업고등학교,고등학교,서울특별시,노원구,공릉동,서울특별시 노원구 공릉로 257,37.6301266,127.0741844
인덕공업고등학교,고등학교,서울특별시,노원구,월계동,서울특별시 노원구 초안산로 12,37.6313747,127.0555547
염광여자메디텍고등학교,고등학교,서울특별시,노원구,월계동,서울특별시 노원구 월계로45가길 9,37.63025824,127.0492435
영신간호비즈니스고등학교,고등학교,서울특별시,노원구,중계동,서울특별시 노원구 중계로16나길 13,37.6521121,127.0828722
광운전자공업고등학교,고등학교,서울특별시,노원구,월계동,서울특별시 노원구 광운로1길 24,37.6208454,127.0561467
경기기계공업고등학교,고등학교,서울특별시,노원구,하계동,서울특별시 노원구 공릉로 264,37.6344163,127.0742785
세그루패션디자인고등학교,고등학교,서울특별시,도봉구,쌍문동,서울특별시 도봉구 시루봉로 53,37.655351,127.0268289
서울문화고등학교,고등학교,서울특별시,도봉구,방학동,서울특별시 도봉구 마들로 598,37.6638554,127.0475357
성암국제무역고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 도봉로29길 52,37.6207354,127.024471
고명경영고등학교,고등학교,서울특별시,성북구,동선동4가,서울특별시 성북구 북악산로 870,37.5975051,127.0199462
동구마케팅고등학교,고등학교,서울특별시,성북구,성북동,서울특별시 성북구 성북로8길 71,37.5935994,127.0071027
서울도시과학기술고등학교,고등학교,서울특별시,성북구,하월곡동,서울특별시 성북구 종암로 196,37.6074229,127.03236
이화여자대학교병설미디어고등학교,고등학교,서울특별시,중랑구,망우동,서울특별시 중랑구 망우로73길 56,37.6037439,127.1049794
송곡관광고등학교,고등학교,서울특별시,중랑구,망우동,서울특별시 중랑구 양원역로 67,37.6063172,127.1053983
