no,name,line,gugun,dong,address,lat,lng
1,서울,1,중구,봉래동2가,서울특별시 중구 봉래동2가 122 서울역(1호선),37.5574069,126.9694999
2,시청,1,중구,정동,서울특별시 중구 정동 5-5 시청역(1호선),37.56389,126.9753112
3,종각,1,종로구,종로1가,서울특별시 종로구 종로1가 54 종각지하철역사,37.570178,126.983116
4,종로3가,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),37.5715,126.9912475
5,종로5가,1,종로구,종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,37.5708307,127.0023506
6,동대문,1,종로구,창신동,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),37.5711389,127.0095452
7,신설동,1,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),37.575326,127.0248495
8,제기동,1,동대문구,제기동,서울특별시 동대문구 제기동 65 제기동역,37.5781758,127.0345907
9,청량리(서울시립대입구),1,동대문구,전농동,서울특별시 동대문구 전농동 620-69 청량리역,37.5797844,127.0459903
10,동묘앞,1,종로구,숭인동,서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.572729,127.016008
11,시청,2,중구,서소문동,서울특별시 중구 서소문동 90-1 시청역(2호선),37.56389,126.9753112
12,을지로입구,2,중구,을지로1가,서울특별시 중구 을지로1가 100-1 을지로입구역,37.566065,126.982679
13,을지로3가,2,중구,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),37.56617,126.9902025
14,을지로4가,2,중구,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),37.5663914,126.9972594
15,동대문역사문화공원,2,중구,을지로7가,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.5657177,127.0084849
16,신당,2,중구,신당동,서울특별시 중구 신당동 99 신당역(2호선),37.5656465,127.0196049
17,상왕십리,2,성동구,하왕십리동,서울특별시 성동구 하왕십리동 946-14 상왕십리역,37.56408,127.02986
18,왕십리(성동구청),2,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(2호선),37.5622586,127.0372276
19,한양대,2,성동구,행당동,서울특별시 성동구 행당동 산17 17 한양대역,37.5555961,127.0436859
20,뚝섬,2,성동구,성수동1가,서울특별시 성동구 성수동1가 656-745 뚝섬역,37.5471773,127.0473802
21,성수,2,성동구,성수동2가,서울특별시 성동구 성수동2가 300-1 성수역,37.5446009,127.0568847
22,건대입구,2,광진구,화양동,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),37.540397,127.069253
23,구의(광진구청),2,광진구,구의동,서울특별시 광진구 구의동 245-24 2호선 구의역,37.5380289,127.0905739
24,강변(동서울터미널),2,광진구,구의동,서울특별시 광진구 구의동 546-6 2호선 강변역,37.535152,127.094689
25,잠실나루,2,송파구,신천동,서울특별시 송파구 신천동 15 잠실나루역,37.520669,127.103839
26,잠실(송파구청),2,송파구,잠실동,서울특별시 송파구 잠실동 8 잠실역(2호선),37.515194,127.0948475
27,잠실새내,2,송파구,잠실동,서울특별시 송파구 잠실동 33 잠실새내역,37.511632,127.085602
28,종합운동장,2,송파구,잠실동,서울특별시 송파구 잠실동 122 종합운동장역,37.5110736,127.0742826
29,삼성(무역센터),2,강남구,삼성동,서울특별시 강남구 삼성동 172-66 삼성역,37.5088263,127.0630673
30,선릉,2,강남구삼성동,서울특별시 강남구 삼성동 172-66 선릉역,37.5088263,127.0630673
31,역삼,2,강남구역삼동,서울특별시 강남구 역삼동 804 역삼역,37.4981284,127.028303
32,강남,2,강남구역삼동,서울특별시 강남구 역삼동 858 강남역,37.4970172,127.0281681
33,교대(법원·검찰청),2,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(2호선),37.4948466,127.0172856
34,서초,2,서초구,서초동,서울특별시 서초구 서초동 1748-5 서초역,37.4927648,127.0105414
35,방배,2,서초구,방배동,서울특별시 서초구 방배동 912-14 방배역,37.4812965,126.9973202
36,사당,2,동작구,사당동,서울특별시 동작구 사당동 1129 사당역(2호선),37.4765394,126.9816401
37,낙성대,2,관악구,봉천동,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,37.477279,126.963418
38,서울대입구(관악구청),2,관악구,봉천동,서울특별시 관악구 봉천동 979-2 서울대입구역사,37.48121,126.952712
39,봉천,2,관악구,봉천동,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,37.482663,126.941585
40,신림,2,관악구,신림동,서울특별시 관악구 신림동 1467-10 2호선 신림역사,37.484422,126.929671
41,신대방,2,동작구,신대방동,서울특별시 동작구 신대방동 643-1 신대방역 2호선,37.4874551,126.91308
42,구로디지털단지,2,구로구,구로동,서울특별시 구로구 구로동 810-3 구로디지털단지역,37.4849804,126.90122
43,대림(구로구청),2,구로구,구로동,서울특별시 구로구 구로동 1204 대림역(2호선),37.4932697,126.89405
44,신도림,2,구로구,신도림동,서울특별시 구로구 신도림동 460-26 2호선 신도림역,37.5089817,126.8918004
45,문래,2,영등포구,문래동3가,서울특별시 영등포구 문래동3가 68-1문래역,37.5178873,126.8947513
46,영등포구청,2,영등포구,당산동3가,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),37.5257723,126.896621
47,당산,2,영등포구,당산동,서울특별시 영등포구 당산동 6가 323-1 당산역,37.5349309,126.9027301
48,합정,2,마포구,서교동,서울특별시 마포구 서교동 393 합정역(2호선),37.5500077,126.9145039
49,홍대입구,2,마포구,동교동,서울특별시 마포구 동교동 165 홍대입구역,37.55692,126.92415
50,신촌,2,마포구,노고산동,서울특별시 마포구 노고산동 31-11 신촌역,37.5551357,126.9368898
51,이대,2,마포구,염리동,서울특별시 마포구 염리동 8-85 이대역,37.5568129,126.9477118
52,아현,2,마포구,아현동,서울특별시 마포구 아현동 354-23 아현역,37.5558896,126.9556609
53,충정로(경기대입구),2,서대문구,충정로3가,서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),37.559729,126.964531
54,용답,2,성동구,용답동,서울특별시 성동구 용답동 127 용답역,37.562132,127.0508327
55,신답,2,성동구,용답동,서울특별시 성동구 용답동 129-2 신답역,37.569889,127.04701
56,용두(동대문구청),2,동대문구,용두동,서울특별시 동대문구 용두동 47-1 용두역,37.5738576,127.0379896
57,신설동,2,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),37.5760865,127.0245591
58,도림천,2,구로구,신도림동,서울특별시 구로구 신도림동 323-16 도림천역,37.5144011,126.8826846
59,양천구청,2,양천구,신정동,서울특별시 양천구 신정동 276-7 양천구청역,37.512332,126.865649
60,신정네거리,2,양천구,신정동,서울특별시 양천구 신정동 1231 신정네거리역,37.5183163,126.8535941
61,까치산,2,강서구,화곡동,서울특별시 강서구 화곡동 662-5 까치산역,37.5325506,126.8463214
62,지축,3,고양시 덕양구,지축동,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,37.648069,126.913746
63,구파발,3,은평구,진관동,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,37.636812,126.918813
64,연신내,3,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역(3호선),37.6188881,126.920832
65,불광,3,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(3호선),37.6105025,126.9298435
66,녹번,3,은평구,녹번동,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,37.6009184,126.9357503
67,홍제,3,서대문구,홍제동,서울특별시 서대문구 홍제동 161-1 홍제역,37.5872664,126.9458373
68,무악재,3,서대문구,홍제동,서울특별시 서대문구 홍제동 26-1 무악재역,37.5816646,126.9517492
69,독립문,3,서대문구,현저동,서울특별시 서대문구 현저동 101 독립문역,37.5718949,126.9571103
70,경복궁(정부서울청사),3,종로구,적선동,서울특별시 종로구 적선동 81-1 3호선 경복궁역,37.575802,126.973538
71,안국,3,종로구,안국동,서울특별시 종로구 안국동 155-2 3호선 안국역,37.576553,126.985565
72,종로3가,3,종로구,묘동,서울특별시 종로구 묘동 59 종로3가역(3호선),37.5715,126.9912475
73,을지로3가,3,중구,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),37.566286,126.9917735
74,충무로,3,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",37.5611591,126.994398
75,동대입구,3,중구,장충동2가,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,37.5591753,127.005064
76,약수,3,중구,신당동,서울특별시 중구 신당동 369-44 약수역(3호선),37.5543795,127.0110164
77,금호,3,성동구,금호동4가,서울특별시 성동구 금호동4가 1470 금호역,37.5480381,127.0158826
78,옥수,3,성동구,옥수동,서울특별시 성동구 옥수동 168-1 옥수역,37.5398948,127.0172208
79,압구정,3,강남구,신사동,서울특별시 강남구 신사동 668 압구정역,37.5235264,127.0283255
80,신사,3,강남구,신사동,서울특별시 강남구 신사동 667 신사역,37.5163915,127.0203073
81,잠원,3,서초구,잠원동,서울특별시 서초구 잠원동 100-1 잠원역,37.51296,127.011611
82,고속터미널,3,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),37.504835,127.004958
83,교대(법원·검찰청),3,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(3호선),37.493559,127.013714
84,남부터미널(예술의전당),3,서초구,서초동,서울특별시 서초구 서초동 1748-30 남부터미널역,37.484918,127.01629
85,양재(서초구청),3,서초구,서초동,서울특별시 서초구 서초동 1366-9 양재역,37.4843603,127.0341755
86,매봉,3,강남구,도곡동,서울특별시 강남구 도곡동 179-2 매봉역,37.487035,127.046918
87,도곡,3,강남구,도곡동,서울특별시 강남구 도곡동 339-2 도곡역,37.4908245,127.0553064
88,대치,3,강남구,대치동,서울특별시 강남구 대치동 317-3 대치역,37.494569,127.063446
89,학여울,3,강남구,대치동,서울특별시 강남구 대치동 514-3 학여울역,37.4970066,127.0723618
90,대청,3,강남구,일원동,서울특별시 강남구 일원동 700-9 대청역,37.49359,127.079536
91,일원,3,강남구,일원동,서울특별시 강남구 일원동 717 일원역,37.4839534,127.0844127
92,수서,3,강남구,수서동,서울특별시 강남구 수서동 728 수서역,37.4873499,127.1018416
93,가락시장,3,송파구,가락동,서울특별시 송파구 가락동 184-23 가락시장역,37.49297,127.11801
94,경찰병원,3,송파구,가락동,서울특별시 송파구 가락동 10-15 경찰병원역,37.495701,127.124206
95,오금,3,송파구,오금동,서울특별시 송파구 오금동 44-2 오금역,37.5022335,127.128354
96,당고개,4,노원구,상계동,서울특별시 노원구 상계동 111 당고개역,37.6704926,127.0794324
97,상계,4,노원구,상계동,서울특별시 노원구 상계동 156-203 상계역,37.6610953,127.0735256
98,노원,4,노원구,상계동,서울특별시 노원구 상계동 602-5 노원역(4호선),37.655022,127.060408
99,창동,4,도봉구,창동,서울특별시 도봉구 창동 135-1 창동역,37.6531856,127.0481139
100,쌍문,4,도봉구,창동,서울특별시 도봉구 창동 703-4 쌍문역,37.652819,127.0368132
101,수유(강북구청),4,강북구,수유동,서울특별시 강북구 수유동 140 수유역,37.6397753,127.0272077
102,미아(서울사이버대학),4,강북구,미아동,서울특별시 강북구 미아동 194-1 미아역,37.626402,127.02615
103,미아사거리,4,강북구,미아동,서울특별시 강북구 미아동 66-1 미아사거리역,37.6151041,127.0300461
104,길음,4,성북구,길음동,서울특별시 성북구 길음동 877-66 길음역,37.6032254,127.0249647
105,성신여대입구(돈암),4,성북구,동선동4가,서울특별시 성북구 동선동4가 1 성신여대입구역,37.5926556,127.0163931
106,한성대입구(삼선교),4,성북구,삼선동1가,서울특별시 성북구 삼선동1가 14 한성대입구역,37.5880209,127.0057966
107,혜화,4,종로구,명륜4가,서울특별시 종로구 명륜4가 96-5 4호선 혜화역,37.582028,127.001891
108,동대문,4,종로구,종로6가,서울특별시 종로구 종로6가 287-1 동대문역(4호선),37.571611,127.010542
109,동대문역사문화공원,4,중구,광희동2가,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),37.5644784,127.0071588
110,충무로,4,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",37.5611591,126.994398
111,명동,4,중구,충무로2가,서울특별시 중구 충무로2가 109-2 명동역 4호선,37.560923,126.986036
112,회현(남대문시장),4,중구,남창동,서울특별시 중구 남창동 64-1 회현역 4호선,37.5582441,126.9757315
113,서울역,4,용산구,동자동,서울특별시 중구 용산구 동자동 14-151 서울역(4호선),37.552918,126.972593
114,숙대입구(갈월),4,용산구,갈월동,서울특별시 용산구 갈월동 16-7 숙대입구역,37.54554,126.97169
115,삼각지,4,용산구,한강로1가,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),37.5350315,126.9734515
116,신용산,4,용산구,한강로2가,서울특별시 용산구 한강로2가 181 4호선 신용산역,37.528906,126.967618
